name,x,y,make,zone
Ja Morant,-6,4,1,2
Ja Morant,180,233,0,3
Ja Morant,-45,80,0,2
Ja Morant,6,20,1,2
Ja Morant,6,89,0,2
Ja Morant,-7,6,0,2
Ja Morant,205,443,0,3
Ja Morant,-8,5,1,2
Ja Morant,-10,11,0,2
Ja Morant,-13,10,1,2
Ja Morant,-3,4,1,2
Ja Morant,3,68,1,2
Ja Morant,72,242,0,3
Ja Morant,41,67,0,2
Ja Morant,-21,25,1,2
Ja Morant,-24,6,0,2
Ja Morant,0,-6,1,2
Ja Morant,202,377,0,3
Ja Morant,-225,16,0,3
Ja Morant,-5,4,0,2
Ja Morant,225,23,1,3
Ja Morant,52,188,0,2
Ja Morant,-36,102,0,2
Ja Morant,-158,239,0,3
Ja Morant,-5,89,0,2
Ja Morant,11,-9,1,2
Ja Morant,0,4,1,2
Ja Morant,62,106,0,2
Ja Morant,93,227,0,3
Ja Morant,7,17,1,2
Ja Morant,6,29,0,2
Ja Morant,-21,240,1,3
Ja Morant,0,-6,0,2
Ja Morant,-4,0,1,2
Ja Morant,-48,153,1,2
Ja Morant,128,216,1,3
Ja Morant,22,150,1,2
Ja Morant,5,266,0,3
Ja Morant,-100,243,1,3
Ja Morant,47,274,1,3
Ja Morant,-51,73,1,2
Ja Morant,0,-6,0,2
Ja Morant,-47,88,1,2
Ja Morant,-88,60,0,2
Ja Morant,-52,123,0,2
Ja Morant,-12,123,1,2
Ja Morant,0,-6,1,2
Ja Morant,-7,12,1,2
Ja Morant,-8,13,1,2
Ja Morant,-5,10,1,2
Ja Morant,-8,3,0,2
Ja Morant,-16,48,1,2
Ja Morant,7,11,0,2
Ja Morant,-8,117,1,2
Ja Morant,-9,109,0,2
Ja Morant,-18,101,0,2
Ja Morant,-81,237,1,3
Ja Morant,-19,43,0,2
Ja Morant,-16,248,0,3
Ja Morant,-7,96,1,2
Ja Morant,-5,15,1,2
Ja Morant,-12,85,0,2
Ja Morant,-107,121,0,2
Ja Morant,-49,76,0,2
Ja Morant,-2,4,1,2
Ja Morant,-71,203,0,2
Ja Morant,23,53,0,2
Ja Morant,6,8,1,2
Ja Morant,-63,53,0,2
Ja Morant,-28,78,1,2
Ja Morant,-27,76,0,2
Ja Morant,43,23,1,2
Ja Morant,55,262,0,3
Ja Morant,37,254,1,3
Ja Morant,-25,10,0,2
Ja Morant,-190,150,0,3
Ja Morant,-44,21,1,2
Ja Morant,-36,17,0,2
Ja Morant,-14,46,0,2
Ja Morant,1,8,0,2
Ja Morant,70,26,1,2
Ja Morant,-19,64,1,2
Ja Morant,-63,67,0,2
Ja Morant,-93,247,1,3
Ja Morant,-6,260,1,3
Ja Morant,6,8,1,2
Ja Morant,-56,69,0,2
Ja Morant,20,256,1,3
Ja Morant,225,37,1,3
Ja Morant,-17,16,0,2
Ja Morant,0,-6,1,2
Ja Morant,-2,1,1,2
Ja Morant,-14,7,0,2
Ja Morant,70,100,1,2
Ja Morant,-16,265,0,3
Ja Morant,-11,21,0,2
Ja Morant,-197,154,1,3
Ja Morant,169,186,0,3
Ja Morant,-60,125,1,2
Ja Morant,143,271,0,3
Ja Morant,45,61,0,2
Ja Morant,-57,111,1,2
Ja Morant,-20,114,1,2
Ja Morant,-8,15,0,2
Ja Morant,70,255,0,3
Ja Morant,-22,-1,1,2
Ja Morant,-30,113,0,2
Ja Morant,14,11,0,2
Ja Morant,-24,13,0,2
Ja Morant,73,258,0,3
Ja Morant,-16,2,1,2
Ja Morant,82,270,0,3
Ja Morant,24,16,0,2
Ja Morant,0,40,1,2
Ja Morant,0,71,0,2
Ja Morant,32,73,0,2
Ja Morant,94,246,1,3
Ja Morant,-13,9,1,2
Ja Morant,-5,-2,1,2
Ja Morant,-2,-1,0,2
Ja Morant,-135,211,0,3
Ja Morant,13,13,1,2
Ja Morant,-25,13,0,2
Ja Morant,121,148,0,2
Ja Morant,61,245,0,3
Ja Morant,-27,17,1,2
Ja Morant,-9,378,0,3
Ja Morant,-134,206,0,3
Ja Morant,-24,0,0,2
Ja Morant,-1,64,1,2
Ja Morant,-63,113,0,2
Ja Morant,-36,67,1,2
Ja Morant,-13,63,0,2
Ja Morant,-22,32,0,2
Ja Morant,-23,31,0,2
Ja Morant,-20,136,0,2
Ja Morant,-30,61,1,2
Ja Morant,29,13,1,2
Ja Morant,-138,205,0,3
Ja Morant,28,13,1,2
Ja Morant,-59,4,0,2
Ja Morant,33,82,1,2
Ja Morant,-124,240,0,3
Ja Morant,61,53,1,2
Ja Morant,33,4,1,2
Ja Morant,-14,1,1,2
Ja Morant,-11,3,1,2
Ja Morant,-44,251,0,3
Ja Morant,-11,71,1,2
Ja Morant,-4,258,0,3
Ja Morant,13,143,0,2
Ja Morant,5,413,0,3
Ja Morant,145,218,0,3
Ja Morant,22,25,1,2
Ja Morant,-228,-2,0,3
Ja Morant,8,29,1,2
Ja Morant,-102,239,0,3
Ja Morant,24,31,0,2
Ja Morant,-143,212,0,3
Ja Morant,0,42,0,2
Ja Morant,9,272,0,3
Ja Morant,-19,48,0,2
Ja Morant,114,233,1,3
Ja Morant,-14,41,0,2
Ja Morant,30,39,0,2
Ja Morant,-182,201,0,3
Ja Morant,-33,12,1,2
Ja Morant,-22,34,0,2
Ja Morant,3,17,1,2
Ja Morant,0,7,1,2
Ja Morant,111,165,0,2
Ja Morant,27,123,1,2
Ja Morant,20,137,0,2
Ja Morant,144,234,1,3
Ja Morant,72,79,0,2
Ja Morant,47,258,1,3
Ja Morant,33,73,1,2
Ja Morant,35,24,1,2
Ja Morant,116,53,0,2
Ja Morant,50,111,0,2
Ja Morant,-4,125,0,2
Ja Morant,62,260,0,3
Ja Morant,-9,24,1,2
Ja Morant,6,2,1,2
Ja Morant,-60,110,0,2
Ja Morant,-14,5,0,2
Ja Morant,157,190,0,3
Ja Morant,-9,-4,1,2
Ja Morant,-43,54,0,2
Ja Morant,11,264,1,3
Ja Morant,-232,-4,1,3
Ja Morant,199,147,0,3
Ja Morant,149,226,0,3
Ja Morant,16,251,0,3
Ja Morant,5,3,1,2
Ja Morant,-13,13,1,2
Ja Morant,-220,144,1,3
Ja Morant,-56,69,0,2
Ja Morant,-67,69,0,2
Ja Morant,-70,111,0,2
Ja Morant,102,232,0,3
Ja Morant,-44,46,0,2
