GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900690,708,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,21,1,1,20200126,MEM,PHX
Shot Chart Detail,0021900690,713,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,9,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-3,61,1,1,20200126,MEM,PHX
Shot Chart Detail,0021900704,12,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,11,13,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,24,1,0,20200128,MEM,DEN
Shot Chart Detail,0021900704,42,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,9,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,19,31,1,0,20200128,MEM,DEN
Shot Chart Detail,0021900704,222,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,7,20,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,10,1,0,20200128,MEM,DEN
Shot Chart Detail,0021900704,226,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,6,42,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20200128,MEM,DEN
Shot Chart Detail,0021900704,383,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,6,36,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-47,105,1,1,20200128,MEM,DEN
Shot Chart Detail,0021900704,483,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,11,5,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,1,1,1,20200128,MEM,DEN
Shot Chart Detail,0021900704,493,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,10,4,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,10,1,1,20200128,MEM,DEN
Shot Chart Detail,0021900704,506,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,9,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,16,1,1,20200128,MEM,DEN
Shot Chart Detail,0021900704,540,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,7,3,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,18,1,0,20200128,MEM,DEN
Shot Chart Detail,0021900704,591,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,3,34,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-20,109,1,1,20200128,MEM,DEN
Shot Chart Detail,0021900704,606,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,59,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-73,107,1,0,20200128,MEM,DEN
Shot Chart Detail,0021900710,22,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,10,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-3,1,1,20200129,NYK,MEM
Shot Chart Detail,0021900710,55,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,7,8,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,6,1,0,20200129,NYK,MEM
Shot Chart Detail,0021900710,58,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,6,43,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-35,95,1,1,20200129,NYK,MEM
Shot Chart Detail,0021900710,196,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,8,48,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,10,1,1,20200129,NYK,MEM
Shot Chart Detail,0021900710,222,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,7,7,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,24,52,1,1,20200129,NYK,MEM
Shot Chart Detail,0021900710,345,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,10,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,14,1,0,20200129,NYK,MEM
Shot Chart Detail,0021900710,379,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,8,8,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,6,1,0,20200129,NYK,MEM
Shot Chart Detail,0021900710,395,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,7,14,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,25,1,1,20200129,NYK,MEM
Shot Chart Detail,0021900710,536,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,11,27,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-22,108,1,0,20200129,NYK,MEM
Shot Chart Detail,0021900710,567,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,8,55,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,1,1,1,20200129,NYK,MEM
Shot Chart Detail,0021900710,655,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,3,33,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,16,40,1,0,20200129,NYK,MEM
Shot Chart Detail,0021900710,660,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,3,10,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-5,92,1,1,20200129,NYK,MEM
